                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0172,                 3.2622,                 1.3598,                0.91057,                0.13333,                0.14918,                0.13121,                0.75851,                 3.5117,                 1.2837,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                 0.8801,                 3.3402,                 1.3213,                0.96866,                0.13333,                 0.2106,                0.18712,                0.68988,                 3.2161,                 1.2204,             7.0743e-05,             7.0743e-05,             7.0743e-05
                      3,                0.91268,                 2.6872,                  1.331,                0.32793,                0.61111,                0.33693,                0.27498,                0.66703,                 3.3738,                 1.1631,             0.00011206,             0.00011206,             0.00011206
                      4,                0.77872,                 1.8161,                 1.2273,                0.57538,                0.74546,                0.70072,                0.57952,                0.69213,                 5.2145,                 1.1742,             0.00015252,             0.00015252,             0.00015252
                      5,                0.70087,                 1.2991,                 1.1175,                0.47492,                0.81659,                0.70663,                0.55856,                0.84902,                  3.352,                 1.2664,             0.00019214,             0.00019214,             0.00019214
                      6,                0.69307,                 1.4652,                 1.1254,                0.46557,                0.58689,                0.59723,                0.45259,                0.96249,                 3.7497,                 1.3692,              0.0002309,              0.0002309,              0.0002309
                      7,                0.72509,                 1.4481,                 1.1731,                0.44227,                0.65661,                0.50441,                0.40192,                0.89728,                 4.2912,                 1.4027,             0.00026882,             0.00026882,             0.00026882
                      8,                0.70705,                 1.3589,                 1.0962,                0.52435,                0.68995,                0.59911,                0.49414,                0.82783,                   3.88,                 1.2726,             0.00030589,             0.00030589,             0.00030589
                      9,                0.65193,                 1.1921,                 1.0568,                0.35568,                0.55252,                0.34071,                  0.234,                0.99002,                 4.4922,                 1.2801,             0.00034211,             0.00034211,             0.00034211
                     10,                0.65001,                 1.0318,                 1.0799,                 0.5217,                0.53404,                0.43647,                0.34381,                0.94394,                 3.8709,                 1.1847,             0.00037749,             0.00037749,             0.00037749
